Domain Name,Record Name,Record Type,Record Value
ubgpro.com,_68c4ddac46da8cfdcb154f76590db1ac.ubgpro.com.,CNAME,_eced55982ee4ef5e1db8d4772d19f0eb.fcgjwsnkyp.acm-validations.aws.
*.ubgpro.com,_68c4ddac46da8cfdcb154f76590db1ac.ubgpro.com.,CNAME,_eced55982ee4ef5e1db8d4772d19f0eb.fcgjwsnkyp.acm-validations.aws.
